Merchant,2021-09-12,2021-09-18,2021-09-24
Lorna Jane,0.025,0.025,0.025
Louisville Slugger,0.02,0.02,0.02
Love Scent,0.15,0.15,0.15
Love With Food,0.1,0.1,0.1
Love in Faith,0.03,0.03,0.03
Lovehoney,0.09,0.09,0.09
LovelySkin,0.04,0.04,0.04
Lovepop,0.025,0.025,0.025
Lovesac,0.01,0.01,0.01
Lowe's,0.02,0.03,0.02
Luca + Danni,0.015,0.015,0.015
Lucky Brand,0.07,0.035,0.035
Lucky Vitamin,0.03,0.03,0.03
Lugz,0.03,0.03,0.03
Luisaviaroma,0.045,0.045,0.045
Luma Sleep,0.06,0.06,0.06
Lumens,0.04,0.04,0.04
Lumi By Pampers,0.025,0.025,0.025
Lumin,0.04,0.04,0.04
Luxlley,0.02,0.02,0.02
Luxor Linen,0.06,0.06,0.06
Luxury Escapes,0.025,0.025,0.025
Lynn Richardson,0.05,0.05,0.05
Lyre's,0.075,0.075,0.075
Lysse,0.03,0.03,0.03
M&M’S,0.03,0.03,0.03
M.Gemi,0.02,0.02,0.02
M.M.LaFleur,0.025,0.025,0.025
MAGIX,0.06,0.06,0.06
MATCHESFASHION,0.03,0.01,0.01
MDF Instruments,0.04,0.04,0.04
MERIT,0.02,0.02,0.02
MGM Resorts,0.025,0.025,0.025
MILLY,0.04,0.04,0.04
MISSHA,0.025,0.025,0.025
MLB Shop,0.01,0.01,0.01
MOLECULE,0.02,0.02,0.02
MONNIER Frères,0.015,0.015,0.015
MOO,0.025,0.025,0.025
MPG,0.025,0.025,0.025
MPOWERD,0.05,0.05,0.05
MR PORTER,0.03,0.03,0.03
MSC Industrial Supply Co.,0.01,0.01,0.01
MTD Parts,0.03,0.03,0.03
MUD\WTR,0.025,0.025,0.025
MYK Silk,0.025,0.025,0.025
Maaji,0.05,0.05,0.05
MacKenzie-Childs,0.025,0.025,0.025
MacPaw,0.05,0.05,0.05
Mack Weldon,0.05,0.025,0.025
Mackage,0.01,0.01,0.01
Mackenzie Limited,0.045,0.045,0.045
Macy's,0.06,0.1,0.1
Madaluxe Vault,0.05,0.05,0.05
Madda Fella,0.1,0.1,0.1
Made By Mary,0.03,0.03,0.03
Made In Washington,0.02,0.02,0.02
Madewell,0.01,0.1,0.01
Madison,0.035,0.035,0.035
Madison Reed,0.03,0.03,0.03
Magazine Store,0.225,0.225,0.225
Magazine Values,0.075,0.075,0.075
Magazines.com,0.4,0.4,0.2
MagicKitchen.com,0.055,0.055,0.055
MagicalButter,0.07,0.07,0.025
Mahabis,0.035,0.035,0.035
Maidenform,0.03,0.03,0.03
MainStay Suites by Choice Hotels,0.03,0.01,0.01
Mainline Menswear,0.035,0.035,0.035
Makanai,0.075,0.075,0.075
Make Up For Ever,0.025,0.025,0.025
MakeUp Eraser,0.05,0.05,0.05
Malin+Goetz,0.04,0.04,0.04
Malwarebytes,0.1,0.1,0.1
Man Crates,0.0375,0.0375,0.0375
Manduka,0.025,0.025,0.025
Mango,0.03,0.03,0.03
Mankind,0.035,0.035,0.035
Mansur Gavriel,0.015,0.015,0.015
Manuka Doctor,0.04,0.04,0.04
Marc Fisher,0.015,0.015,0.015
Marc Jacobs,0.03,0.03,0.03
Marc Jacobs Beauty,0.01,0.01,0.01
Marcella,0.035,0.035,0.035
Marchesa,0.03,0.03,0.03
Marciano,0.02,0.02,0.02
Marika,0.02,0.02,0.02
Marimekko,0.04,0.04,0.04
Marinelli,0.05,0.05,0.05
Marissa Collections,0.03,0.03,0.03
Marks & Spencer,0.02,0.02,0.02
Marmot,0.025,0.025,0.025
Marriott Bonvoy - Points.com,0.0125,0.0125,0.0125
Marriott.com,0.04,0.045,0.045
Mars Med Supply,0.05,0.05,0.05
Maryland Square,0.075,0.075,0.075
Master & Dynamic,0.04,0.04,0.04
Master of Project Academy,0.09,0.09,0.09
MatchaBar,0.04,0.04,0.04
Matisse Footwear,0.05,0.05,0.05
Matt & Nat,0.02,0.02,0.02
Mattress Firm,0.025,0.025,0.025
Maud’s Coffee & Tea,0.035,0.035,0.035
Maui and Sons,0.05,0.05,0.05
Mavi,0.04,0.04,0.04
MaxAroma,0.015,0.015,0.015
Maxi-Cosi,0.04,0.04,0.04
Maytag,0.01,0.01,0.01
Mayvenn,0.04,0.04,0.04
McAfee,0.2,0.2,0.2
McDavid,0.03,0.03,0.03
MeUndies,0.05,0.05,0.05
Meat Processing Products,0.025,0.025,0.025
Medical Supply Depot,0.04,0.04,0.04
MegaFood,0.05,0.05,0.05
Mejuri,0.02,0.02,0.02
Melijoe,0.02,0.02,0.02
Melinda Maria,0.04,0.04,0.04
Melissa & Doug,0.02,0.02,0.02
Men's Wearhouse,0.05,0.025,0.025
Men’s USA,0.035,0.035,0.035
Meridian Grooming,0.03,0.03,0.05
Merlette,0.05,0.05,0.05
Merrell,0.035,0.035,0.035
Metal Unlimited,0.06,0.06,0.06
Miansai,0.025,0.025,0.025
Michael Kors,0.02,0.02,0.02
Michael Stars,0.02,0.02,0.02
Michaels,0.01,0.01,0.01
Michele,0.02,0.02,0.02
Microsoft Store,0.035,0.035,0.035
Mignon Faget,0.035,0.035,0.035
Mignonne Gavigan,0.06,0.06,0.06
Mikasa,0.02,0.02,0.02
Milani Cosmetics,0.015,0.015,0.015
Miles Kimball,0.03,0.03,0.03
Milk Makeup,0.02,0.02,0.02
Millennium Hotels and Resorts,0.015,0.015,0.015
MindWare,0.02,0.02,0.02
Mindvalley,0.025,0.025,0.025
Ming Wang,0.025,0.025,0.025
Minimal,0.04,0.04,0.04
Ministry of Supply,0.02,0.02,0.02
Minnetonka,0.025,0.025,0.025
Minted,0.015,0.015,0.015
Mio Skincare,0.035,0.035,0.035
Miraclesuit,0.03,0.03,0.03
Misook,0.025,0.025,0.025
Missguided,0.06,0.06,0.03
Missoma,0.05,0.02,0.02
Mister SFC,0.025,0.025,0.025
MisterArt.com,0.02,0.02,0.02
Mixbook,0.05,0.05,0.05
Mizuno,0.04,0.04,0.04
Mizzen+Main,0.05,0.05,0.1
ModCloth,0.05,0.05,0.05
Moda Operandi,0.02,0.02,0.02
Modanisa.com,0.03,0.03,0.03
Modern Bathroom,0.03,0.03,0.03
Modern Picnic,,0.035,0.035
Modibodi,0.025,0.025,0.025
Molekule,0.02,0.02,0.02
Molton Brown,0.03,0.03,0.03
Monica + Andy,0.02,0.02,0.02
Monica Vinader,0.02,0.02,0.02
Monoprice,0.01,0.01,0.01
Monster.com,0.1,0.1,0.1
Montavue,0.01,0.01,0.01
Moon Juice,0.04,0.04,0.04
Moosejaw,0.045,0.045,0.045
Moral Code,0.045,0.045,0.045
More Labs,0.075,0.075,0.075
Moroccanoil,0.035,0.035,0.035
Morphe,0.02,0.02,0.02
Morris 4x4 Center,0.03,0.03,0.03
Mosaic Weighted Blankets,0.045,0.045,0.045
Moschino,0.03,0.03,0.03
Motel 6,0.04,0.04,0.04
Mother Denim,0.02,0.02,0.02
Motherhood Maternity,0.01,0.01,0.01
Motives Cosmetics,0.02,0.02,0.02
MotoSport,0.025,0.025,0.025
Motorola Mobility,0.01,0.01,0.01
Mount-It!,0.025,0.025,0.025
Mountain Hardwear,0.05,0.05,0.05
Mountain Warehouse,0.04,0.04,0.04
MountainSteals.com,0.025,0.025,0.025
Movado Company Store,0.02,0.02,0.02
Mrs. Fields,0.03,0.03,0.03
Muck Boots,0.05,0.05,0.05
Munchkin,0.02,0.02,0.02
Murad Skin Care,0.04,0.08,0.04
Muse,0.03,0.03,0.03
Music & Arts,,,0.01
Muttropolis,0.035,0.035,0.035
My Bully Sticks,0.05,0.05,0.05
MyCorporation,0.085,0.085,0.085
MyEvergreen,0.035,0.035,0.035
MyHeritage,0.025,0.025,0.025
MyPhoto,0.025,0.025,0.025
MyWeddingFavors,0.06,0.06,0.06
Myprotein,0.04,0.04,0.04
Myron,0.03,0.03,0.03
Mytheresa,0.02,0.02,0.02
M·A·C Cosmetics,0.03,0.03,0.03
NAKEDCASHMERE,0.015,0.015,0.015
NARS Cosmetics,0.025,0.025,0.025
NASCAR.com Store,0.01,0.01,0.01
NBA Store,0.01,0.01,0.01
NEST New York,0.035,0.035,0.035
NET-A-PORTER,0.03,0.03,0.03
NET10 Wireless,0.04,0.04,0.04
NFL Game Pass,0.05,0.05,0.05
NFL Shop,0.01,0.01,0.01
NHC Vitamins,0.04,0.04,0.04
NIC+ZOE,0.04,0.04,0.04
NOAH,0.03,0.03,0.03
NYDJ,0.05,0.05,0.05
NYX Professional Makeup,0.04,0.11,0.04
Naadam,0.03,0.03,0.03
Name Stories,0.05,0.05,0.075
Nancy Meyer,0.04,0.04,0.04
Nano Air Mask,0.03,0.03,0.03
Nap Loungewear,,0.225,0.225
Naples Soap Company,0.05,0.05,0.035
Nashville Shoe Warehouse,0.035,0.035,0.035
Nasty Gal,0.045,0.045,0.045
Natalie Fragrance,0.03,0.03,0.03
Natchez,0.01,0.01,0.01
Nathan Sports,0.05,0.05,0.05
NationalBusinessFurniture.com,0.02,0.02,0.02
Native Grill & Wings,0.02,0.02,0.02
Natori,0.04,0.04,0.04
Natura,0.03,0.03,0.03
Naturalizer,0.03,0.03,0.03
NatureBox,0.05,0.05,0.05
NatureWell Beauty,0.03,0.03,0.03
NatureWise,0.04,0.04,0.04
Naturepedic,0.06,0.06,0.06
Nautica,0.04,0.04,0.04
Navigation.com,0.04,0.04,0.04
Navy Hair Care,0.04,0.04,0.04
Nearly Natural,0.025,0.025,0.025
Nectar Sleep,0.05,0.05,0.05
Nectar Sunglasses,0.04,0.04,0.04
Neiman Marcus,0.02,0.02,0.02
NeoStrata,0.05,0.05,0.05
Nest Bedding,0.015,0.015,0.015
Netaya,0.03,0.03,0.03
Neutrogena,0.04,0.04,0.04
New Balance,0.015,0.015,0.015
New Era,0.02,0.02,0.02
New Vitality,0.05,0.05,0.05
New York & Company,0.025,0.025,0.025
New York SightSeeing,0.075,0.075,0.075
NewAir,0.02,0.02,0.02
Newark,0.03,0.03,0.03
Newchic,0.07,0.07,0.07
Newspapers.com,0.1,0.1,0.1
Next Big Idea Club,0.05,0.05,0.05
Nick's Ice Cream,0.26,0.26,0.26
Nicole Miller,0.05,0.05,0.05
Nike,0.03,0.03,0.03
Nili Lotan,0.035,0.035,0.035
Nina Shoes,0.05,0.05,0.05
Nine West,0.01,0.01,0.01
Ninja,0.02,0.02,0.02
Nisolo,0.015,0.015,0.015
Nixon,0.04,0.04,0.04
Nixplay,0.035,0.035,0.035
No7,0.04,0.04,0.04
Nobis,0.05,0.05,0.05
Nom Nom,0.1,0.1,0.1
Nomad,0.035,0.035,0.035
Nomad Goods,0.05,0.05,0.05
Nomadik,0.08,0.08,0.08
NordPass,0.5,0.5,0.5
NordVPN,0.4,0.2,0.4
Nordstrom Rack,0.01,0.04,0.02
NorthStyle,0.025,0.025,0.025
Northern Tool,0.015,0.015,0.015
Norton Security and Antivirus,0.4,0.2,0.2
NuFACE,0.05,0.05,0.1
NuWave,0.075,0.075,0.075
Nuance,0.04,0.04,0.04
Nunn Bush,0.035,0.035,0.035
Nuria,0.025,0.025,0.025
Nurish,0.05,0.5,0.5
Nutribullet,0.01,0.01,0.01
Nutrisystem,0.03,0.03,0.03
Nutrition for Longevity,0.04,0.04,0.04
Nuxe,0.035,0.035,0.035
O'Neill,0.01,0.01,0.01
OCLU,0.05,0.05,0.05
OFRA Cosmetics,0.03,0.03,0.03
OLIPOP,,0.05,0.05
OLLY,,,0.01
ONE Condoms,0.1,0.1,0.1
ORLY,0.05,0.05,0.05
OXO,0.01,0.01,0.01
OYO Hotels,0.11,0.11,0.11
Oakley,0.04,0.04,0.04
Oakley Standard Issue,0.02,0.02,0.02
Obvi,0.025,0.025,0.025
Oculus,0.01,0.02,0.01
Ode à la Rose,0.025,0.025,0.025
Office Depot and OfficeMax,0.04,0.04,0.04
OfficeDesigns.com,0.03,0.03,0.03
OfficeFurniture.com,0.02,0.02,0.02
OfficeFurniture2Go,0.05,0.05,0.05
Ogee,0.025,0.025,0.025
Oka b.,0.025,0.025,0.025
Olay,0.1,0.1,0.1
Old Navy,0.04,0.02,0.02
Old Navy Canada,0.02,0.02,0.02
Old Time Candy,0.04,0.04,0.04
Ole Henriksen,0.02,0.02,0.02
Olight,,,0.05
Olive Garden Gift Cards,0.01,0.01,0.01
Olivela,0.06,0.06,0.1
Oliver Gal,0.025,0.025,0.025
Olympia Sports,0.06,0.06,0.06
Omaha Steaks,0.02,0.02,0.02
Omaze,0.02,0.02,0.02
Omio,0.02,0.02,0.02
Omorovicza,0.05,0.05,0.05
Omron Healthcare,0.01,0.01,0.01
On Campus Marketing,0.04,0.04,0.04
OnCourse Learning,0.03,0.03,0.03
One Hanes Place,0.03,0.03,0.03
One Skin,0.025,0.025,0.025
OnePlus,0.07,0.07,0.07
Oneida,0.04,0.04,0.04
Onepiece,0.025,0.025,0.025
Online Amish Furniture,0.02,0.02,0.02
Online Fabric Store,0.015,0.015,0.015
Onlineshoes.com,0.045,0.045,0.045
Only Natural Pet,0.025,0.025,0.025
Onnit,0.025,0.025,0.025
Onzie,0.025,0.025,0.025
Optimum Nutrition,0.04,0.05,0.05
Oracle Lighting,0.04,0.04,0.04
Oral-B,0.04,0.04,0.04
Ora’s Amazing Herbal,0.05,0.05,0.05
Orbitz,0.035,0.035,0.035
Orgain,0.1,0.1,0.1
Organic Baby Food,0.05,0.05,0.05
Oriental Trading Company,0.02,0.02,0.02
Original Penguin,0.025,0.025,0.025
Origins,0.03,0.03,0.03
Orion Telescopes and Binoculars,0.03,0.03,0.03
Ornament Shop,0.025,0.025,0.025
Orvis,0.025,0.025,0.025
Oscar de la Renta,0.01,0.01,0.01
OshKosh B'gosh,0.06,0.04,0.01
Other World Computing,0.025,0.025,0.015
OtterBox,0.05,0.05,0.05
Ouidad,0.04,0.04,0.04
Outdoor Cooking,0.05,0.05,0.05
Outdoor Gear Exchange,,,0.03
Outdoor Voices,0.01,0.01,0.03
Outdoorplay,0.01,0.01,0.01
Overnight Flowers,0.075,0.075,0.075
Overnight Glasses,0.05,0.05,0.05
Overnight Prints,0.1,0.1,0.1
Overstock.com,0.04,0.02,0.02
Overton's,0.02,0.02,0.02
Owlet,0.03,0.03,0.03
P.E. Nation,0.04,0.04,0.04
P.volve,0.05,0.05,0.05
PANDORA Jewelry,0.01,0.01,0.01
PC Richard & Son,0.01,0.01,0.01
PEDRO,0.035,0.035,0.035
PRAI Beauty,0.05,0.05,0.05
PRANA Organic,0.025,0.025,0.025
PRO-Keds,0.05,0.05,0.05
PUMA,0.055,0.055,0.055
PYT Beauty,0.06,0.06,0.06
PacSun.com,0.01,0.02,0.01
Pacific Coast Feather,0.04,0.04,0.04
Pacifica,0.03,0.05,0.05
Packs Project,0.035,0.035,0.035
Paige,0.04,0.04,0.04
PaintYourLife.com,0.03,0.03,0.03
Pair of Thieves,0.03,0.03,0.03
PalmBeach Jewelry,0.05,0.05,0.05
Pam and Gela,0.06,0.06,0.06
Pamela Love,0.03,0.03,0.03
Papa & Barkley,0.03,0.03,0.03
Paper Mart,0.015,0.015,0.015
Parachute,0.03,0.03,0.03
Paragon Sports,0.04,0.04,0.04
Parallels,0.05,0.05,0.05
Paravel,0.06,0.06,0.06
Paris Las Vegas,0.025,0.025,0.025
Parisa Wang,0.04,0.04,0.04
Park Inn,0.03,0.03,0.03
Park ‘N Fly,0.01,0.01,0.01
ParkSleepFly,0.1,0.1,0.1
Partake,0.025,0.025,0.025
Pat McGrath Labs,0.04,0.04,0.04
PatBo,0.025,0.025,0.025
Patagonia,0.01,0.01,0.01
Patagonia Provision,0.02,0.02,0.02
PatchMD,0.07,0.07,0.07
Patio Products USA,0.025,0.025,0.025
Patrick Ta Beauty,0.04,0.04,0.04
Paul Fredrick,0.04,0.04,0.04
Paul Smith,0.025,0.025,0.025
Paula Young,0.01,0.01,0.01
Paula's Choice Skincare,0.035,0.035,0.035
Pavilions,0.01,0.01,0.01
Peace Out Skincare,0.04,0.04,0.04
Peach & Lily,0.035,0.035,0.035
Peacock Alley,0.04,0.04,0.04
Peet's Coffee,0.1,0.1,0.1
Pelican Water,0.05,0.05,0.05
Peltz Shoes,0.05,0.05,0.05
Penningtons,0.02,0.02,0.02
People's Jewellers,0.03,0.03,0.03
Perfect Memorials,0.03,0.03,0.03
Perfumania,0.03,,
Perfume.com,0.02,0.02,0.02
Perpetual Shade,0.04,0.04,0.04
Perricone MD,0.09,0.09,0.09
Perry Ellis,0.025,0.025,0.025
Persol,0.02,0.02,0.02
Persona Nutrition,0.125,0.125,0.125
Personalabs,0.05,0.05,0.05
Personalization Mall,0.05,0.05,0.05
Peruvian Connection,0.025,0.025,0.025
PetCareRx,0.06,0.06,0.06
PetFlow,0.04,0.04,0.04
PetHonesty,0.04,0.04,0.04
PetMate,0.05,0.05,0.05
PetPlate,,,0.125
PetSafe,0.06,0.06,0.06
PetSmart,0.01,0.01,0.01
Petco,0.01,0.01,0.01
Peter Millar,0.015,0.015,0.015
Peter Thomas Roth,0.04,0.04,0.04
Pevonia,0.05,0.05,0.05
Pfaltzgraff,0.04,0.04,0.04
Pharmaca,0.04,0.04,0.04
Pharmapacks,0.035,0.035,0.035
Philips,0.075,0.075,0.075
Philips Hue,0.025,0.025,0.025
PhoneSoap,0.025,0.025,0.025
Photography.com,0.02,0.02,0.02
Physician's Choice,0.04,0.04,0.04
Physicians Formula,0.03,0.03,0.03
Pictureframes.com,0.035,0.035,0.035
Pier 1,0.03,0.03,0.03
Pikolinos,0.06,0.06,0.06
Pimsleur Language Program,0.075,0.075,0.075
PinkBlush,0.02,0.02,0.02
Piper,0.03,0.03,0.03
Pipette,0.08,0.04,0.04
Pistola Denim,0.04,0.04,0.04
Pit Viper,0.03,0.03,0.03
Pixi Beauty,0.05,0.05,0.06
Planet Hollywood Resort & Casino,0.025,0.025,0.025
Plant People,0.075,0.075,0.075
Plant Therapy,0.01,0.01,0.01
Playboy,0.03,0.03,0.03
Plow and Hearth,0.04,0.04,0.04
Plum Guide,0.025,0.025,0.025
Pluralsight,0.1,0.1,0.1
PlusCBD,0.15,0.15,0.15
Plush Necessities,0.035,0.035,0.035
Polaroid,0.015,,
Poly,0.015,0.03,0.03
Polynesian Cultural Center,0.05,0.05,0.05
Pond5,0.045,0.04,0.04
PopSockets,0.05,0.04,0.04
Popcornopolis,0.025,0.025,0.025
Porsche Design,0.04,0.04,0.04
Portal from Facebook,0.015,0.015,0.015
Positive Grid,0.025,0.025,0.025
Positive Promotions,0.025,0.01,0.01
Power Systems,0.05,0.05,0.05
PowerDot,0.025,0.025,0.025
Precious Moments,0.05,0.05,0.05
Premium Bandai,0.02,0.02,0.02
Pretty Litter,0.5,0.5,
PrettyLittleThing,0.03,0.03,0.03
Priceline,0.04,0.04,0.05
Prima,0.075,0.075,0.075
Primal Life Organics,0.025,0.025,0.025
Primal Wear,0.04,0.04,0.04
Prime Chop,0.05,0.05,0.05
Princess Polly,0.025,0.025,0.025
Private Internet Access,0.2,0.2,0.2
Prive Revaux,0.05,0.05,0.05
ProBikeKit.com,0.0125,0.0125,0.0125
ProFlowers,0.1,0.1,0.1
Proactiv,0.02,0.02,0.02
Proenza Schouler,0.02,0.02,0.02
Professional Supplement Center,0.04,0.04,0.04
Project Nursery,0.05,0.05,0.05
Proper,0.04,0.04,0.04
Proviz,0.035,0.035,0.035
PsPrint,0.04,0.04,0.04
Psycho Bunny,0.05,0.05,0.05
Public Desire,0.02,0.02,0.02
Public Goods,0.025,0.025,0.025
Pura Vida Bracelets,0.025,0.025,0.025
PureFormulas,0.02,0.02,0.02
PureVPN,0.125,0.125,0.125
PureWine,0.05,0.05,0.05
Pureology,0.035,0.035,0.035
Puritan's Pride,0.02,0.02,0.02
Purple,0.02,0.02,0.02
PÜR The Complexion Authority,0.06,0.06,0.06
QALO,0.04,0.04,0.04
QVC,0.01,0.1,0.01
Quality Inn by Choice Hotels,0.03,0.01,0.01
Quay Australia,0.05,0.05,0.05
Quiksilver,0.015,0.015,0.015
Quill.com,0.05,0.05,0.05
Quince,0.01,0.01,0.01
Qustodio,0.1,0.1,0.1
R1 Concepts,0.025,0.025,0.025
REALHER,0.05,0.05,0.05
REN Skincare,0.04,0.04,0.04
RISE Brewing Co.,,0.03,0.03
ROMWE,0.05,0.05,0.05
RST Brands,0.04,0.04,0.04
RVCA,0.015,0.015,0.015
RVshare,0.03,0.03,0.03
RaceChip,0.065,0.065,0.065
Rachel Ashwell Shabby Chic Couture,0.05,0.05,0.05
Rachel Pally,0.035,0.035,0.035
Rachel Zoe,0.04,0.04,0.04
Rachio,0.035,0.035,0.035
Rack Room Shoes,0.01,0.01,0.01
Rad Power Bikes,0.05,0.04,0.04
Radisson Blu,0.03,0.03,0.03
Radisson Hotels & Resorts,0.025,0.025,0.025
Radley London,0.03,0.03,0.03
Rael,0.025,0.025,0.025
Rainbow Shops,0.03,0.03,0.03
Raise.com,0.01,0.01,0.01
Rakuten Dining,0.05,0.05,0.05
Rakuten Gift Card Shop,0.13,0.1,0.13
Rakuten Global Express,0.05,0.05,0.05
Ramy Brook,0.02,0.02,0.02
Randalls,0.01,0.01,0.01
Randolph Engineering,0.04,0.04,0.04
Rapala,0.03,0.03,0.03
Raptic,0.075,0.075,0.075
Rastaclat,0.025,0.025,0.025
Raw Generation,0.03,0.03,0.03
Rawlings Sporting Goods,0.025,0.025,0.025
Ray-Ban,0.05,0.05,0.04
Raymour & Flanigan,0.02,0.02,0.02
Razer,0.0175,0.0175,0.0175
ReStockIt,0.03,0.03,0.03
ReVive,0.04,0.04,0.04
Readers.com,0.075,0.075,0.075
Rebecca Minkoff,0.03,0.03,0.03
Rebecca Taylor,0.035,0.035,0.035
Red Dress,0.025,0.025,0.025
Red Roof Inn,0.035,0.035,0.035
RedShelf,,,0.025
Redbox,,0.02,0.02
Redbubble,0.05,0.06,0.04
Redline Steel,0.03,0.03,0.03
Reebok,0.02,0.02,0.02
Reeds Jewelers,0.05,0.05,0.05
Reef + Ledge,0.03,0.03,0.03
Reef.com,0.02,0.02,0.02
Refurb.io,0.02,0.02,0.02
Reiss Online,0.03,0.03,0.03
Remind Insoles,0.035,0.035,0.035
Renaissance Hotels and Resorts,0.04,0.045,0.045
Rene Furterer,0.04,0.04,0.04
Renee Rouleau,0.04,0.04,0.04
Renew Life,0.1,0.1,0.1
Renogy,0.02,0.02,0.02
Rent the Runway,0.01,0.01,0.01
Rentalcars.com,0.05,0.05,0.05
RepairClinic,0.03,0.03,0.03
"Replacements, Ltd.",0.035,0.035,0.035
ReserveBar,0.02,0.02,0.02
Residence Inn,0.04,0.045,0.045
Restaurant.com,0.175,0.175,0.175
RevZilla,0.02,0.02,0.02
Revinia,0.05,0.05,0.05
RevitaLash Cosmetics,0.05,0.05,0.05
Revo,0.05,0.05,0.05
Revolution Beauty,0.04,0.04,0.04
Rheos,0.025,0.025,0.025
Rhone,0.025,0.025,0.025
Rifle Paper Co.,0.01,0.01,0.01
Rio Las Vegas,0.025,0.025,0.025
Ripley's Believe It or Not,0.05,0.05,0.05
Ritani,0.02,0.02,0.02
Rite Aid,0.025,0.025,0.025
River Island,0.025,0.025,0.025
Riverbend Home,0.02,0.02,0.02
RoC Skincare,0.03,0.03,0.03
Road Runner Sports,0.0175,0.0175,0.0175
Robert Graham,0.03,0.03,0.03
Rock Bottom Golf,0.015,0.015,0.015
Rocket Dog,0.04,0.04,0.04
Rockport.com,0.03,0.03,0.03
Rodeway Inn by Choice Hotels,0.03,0.01,0.01
Roller Rabbit,0.03,0.03,0.03
Roller Skate Nation,0.03,0.03,0.03
Roots,0.01,0.01,0.01
RoseGal,0.025,0.025,0.025
Roses Only,0.05,0.05,0.05
Rosetta Stone,0.035,0.035,0.035
Ross-Simons,0.03,0.03,0.03
Rothy's,0.015,0.015,0.015
Roxy,0.015,0.015,0.015
Royal Albert,0.03,0.03,0.03
Roztayger,0.035,0.035,0.035
Ruby Love,0.025,0.025,0.025
Rue La La,0.01,,
RugStudio,0.015,0.015,0.015
Ruggable,0.02,0.02,0.02
Rugs USA,0.01,0.01,0.01
Running Room,0.04,0.04,0.04
Russell Stover,0.05,0.05,0.05
Ryka,0.03,0.03,0.03
S'well,0.03,0.03,0.03
SAXX Underwear,0.03,0.03,0.03
SHEEX,0.01,0.01,0.01
SHEFIT,0.01,0.01,0.01
SHEIN,0.05,0.05,0.05
SIMPLE Mobile,0.04,0.04,0.04
SK-II,0.03,0.03,0.03
SKIMS,0.01,0.01,0.01
SKLZ,0.05,0.05,0.05
SKY by Gramophone,0.03,0.03,0.03
SKYLUM,0.1,0.1,0.1
SLEEFS,0.055,0.055,0.055
SPANX,0.015,0.015,0.015
SSENSE,0.03,0.03,0.03
SUPCASE,0.04,0.04,0.04
Saatchi Art,0.04,0.04,0.04
Saatva,0.015,0.015,0.015
Sabon,0.04,0.04,0.04
Sachin & Babi,0.1,0.1,0.1
Safety 1st,0.03,0.03,0.03
Safeway,0.01,0.01,0.01
SageFinds,0.05,0.05,0.05
Saint James,0.05,0.05,0.05
Sakara Life,0.05,0.1,0.05
Saks Fifth Avenue,0.02,0.02,0.02
Saks OFF 5TH,0.02,0.02,0.02
Sally Beauty,0.04,0.04,0.04
Salt Life,0.01,0.01,0.01
Sam Ash,0.0425,0.0425,0.0425
Sam Edelman,0.035,0.035,0.035
Sam's Club,0.08,0.08,0.08
Samsonite,0.025,0.025,0.025
Samsung,0.03,0.06,0.1
Sanctuary Clothing,0.04,0.04,0.04
Sanuk Footwear,0.04,0.04,0.04
Sarah Flint,0.02,0.02,0.02
Saturdays NYC,0.035,0.035,0.035
Satya Jewelry,0.025,0.025,0.025
Saucey,0.02,0.02,0.02
Saucony,0.04,0.04,0.04
Savannahs,0.04,0.04,0.04
SaveAround,0.035,0.035,0.035
Savory Spice,0.03,0.03,0.03
Scandinavian Designs,0.015,0.015,0.015
Schick,0.05,0.05,0.05
SchoolMaskPack,0.025,0.025,0.025
Schoolhouse,0.03,0.03,0.03
Schutz Shoes,0.04,0.04,0.04
Scotch & Soda,0.05,0.05,0.05
Scotch Porter,0.075,0.075,0.075
Scrubs & Beyond,0.04,0.04,0.04
Sea New York,0.05,0.05,0.05
SeaBear.com,0.02,0.02,0.02
SeaVees,0.02,0.02,0.02
SeaWorld,0.025,0.025,0.025
Sears,0.01,0.01,0.01
Seavenger,0.03,0.03,0.03
See's Candies,0.03,0.05,0.03
SelectATicket,0.035,0.035,0.035
Selfridges US,0.03,0.03,0.03
SendFlowers,0.16,0.16,0.16
Sennheiser,0.03,0.03,0.03
Senreve,0.03,0.03,0.03
Sephora,0.02,0.06,0.06
Serta,0.03,0.03,0.03
Sesame Place,0.025,0.025,0.025
Setapp,0.05,0.05,0.05
Sgt. Grit Marine Specialties,0.02,0.02,0.02
Shari's Berries,0.04,0.04,0.04
Shark,0.02,0.02,0.02
Sharon Osbourne Home,0.025,0.025,0.025
Sharper Image,0.04,0.03,0.03
Shaw's,0.01,0.01,0.01
Sheertex,0.04,0.04,0.03
Sheet Music Plus,0.04,0.04,0.04
SheetWorld,0.04,0.04,0.04
ShelterLogic,0.03,0.03,0.03
Shiekh Shoes,0.01,0.01,0.01
Shinesty,0.03,0.03,0.03
Shire City Herbals Fire Cider,0.05,0.05,0.05
Shiseido,0.02,0.02,0.02
Shock Doctor,0.05,0.05,0.05
Shoe Carnival,0.02,0.02,0.02
Shoe Palace,0.025,0.025,0.025
ShoeMall,0.07,0.07,0.06
Shoebacca,0.05,0.05,0.05
Shoenvious,0.025,0.025,0.025
Shoes.com,0.04,0.04,0.04
Shop Bazaar,0.04,0.04,0.04
Shop LC,0.015,0.015,0.015
Shop Premium Outlets,0.035,0.035,0.035
Shop.NHL.com,0.01,0.01,0.01
ShopPBS,0.035,0.035,0.035
