Merchant,2021-09-12,2021-09-18,2021-09-24
Church's Footwear,0.075,0.075,0.075
Circus by Sam Edelman,0.05,0.05,0.05
Citizen,0.01,0.01,0.01
City Chic,0.025,0.025,0.025
CitySights NY,0.075,0.075,0.075
CitySightseeing New York,0.075,0.075,0.075
Claire's,0.04,0.04,0.04
Clarins,0.02,0.05,0.02
Clarion Hotel by Choice Hotels,0.03,0.01,0.01
Clarks,0.04,0.04,0.04
Clark’s Botanicals,0.045,0.045,0.045
Claxy,0.02,0.02,0.02
Cleancult,,0.025,0.025
Clear Rear,0.03,0.03,0.03
Clickhere2shop,0.055,0.055,0.055
Clinique,0.04,0.04,0.12
Cliradex,0.05,0.05,0.05
Clothing Shop Online,0.015,0.015,0.015
Club Monaco,0.025,0.025,0.025
Clé de Peau Beauté,0.06,0.02,0.02
Coach,0.12,0.12,0.04
Coach Outlet,0.01,0.01,0.01
Coastal.com,0.05,0.05,0.05
CocoaVia,0.06,0.06,0.06
Cocoon by Sealy,0.03,0.03,0.03
Codecademy,0.025,0.025,0.025
Coffee Bean & Tea Leaf,0.05,0.05,0.05
Coggles,0.04,0.04,0.04
Coldwater Creek,0.02,0.02,0.02
Cole Haan,0.02,0.02,0.02
Colgate,0.025,0.025,0.025
Collections Etc.,0.025,0.025,0.025
Colleen Rothschild Beauty,0.02,0.02,0.02
Colorful Images,0.02,0.02,0.02
ColourPop,0.035,0.035,0.07
Coltorti,0.05,0.05,0.05
Columbia Sportswear,0.02,0.02,0.02
ComboInk,0.025,0.025,0.025
Comfort Inn by Choice Hotels,0.03,0.01,0.01
Comfort Suites by Choice Hotels,0.03,0.01,0.01
Community Coffee,0.03,0.03,0.03
CompAndSave,0.025,0.025,0.025
Competitive Cyclist,0.04,0.04,0.04
Compex,0.03,0.03,0.03
Complete Nutrition,0.035,0.035,0.035
Completely Bare,0.035,0.035,0.035
ContactsDirect,0.08,0.04,0.04
Converse,0.03,0.03,0.03
Cookies By Design,0.02,0.02,0.02
Coravin,0.025,0.025,0.025
Corel,0.05,0.05,0.05
Corelle,0.025,0.025,0.025
Corkcicle,0.05,0.05,0.05
Corsair,0.01,0.01,0.01
Cos Bar,0.05,0.05,0.05
Cosabella,0.01,0.01,0.01
Costa Del Mar,0.03,0.03,0.03
Costway,0.03,0.03,0.03
Cotopaxi,0.01,0.01,0.01
Cotton On,0.035,0.035,0.035
Couches.com,0.03,0.03,0.03
Country Inn & Suites by Radisson,0.035,0.035,0.035
Country Life Vitamins,0.04,0.04,0.04
Courant,0.04,0.04,0.04
Coursera,0.05,0.05,0.05
Courtyard,0.04,0.045,0.045
Cover FX,0.03,0.03,0.03
Covers And All,0.05,0.05,0.06
Cozy Earth,0.015,0.015,0.015
Crabtree & Evelyn,0.04,0.04,0.04
Craft Beer Club,0.025,0.025,0.025
Crane & Co,0.03,0.03,
Crayola,0.045,0.045,0.045
Crazy Shirts,0.02,0.02,0.02
Creative Irish Gifts,0.02,0.02,0.02
CreativeGallery.com,0.02,0.02,0.02
CreativeLive,0.05,0.05,0.05
Credo,0.025,0.025,0.025
Crest White Smile,0.04,0.04,0.04
Cricut,0.02,0.02,0.02
Criquet Shirts,0.015,0.015,0.015
Crocs,0.03,0.03,0.03
Crossrope,0.025,0.025,0.025
Crowd Cow,0.025,0.05,0.025
Crowne Plaza by IHG,0.03,0.03,0.03
CruiseDirect,0.02,0.02,0.02
Crutchfield,0.025,0.025,0.025
CrystalPlus.com,0.04,0.04,0.04
Cub Cadet,0.025,0.025,0.025
Cubavera,0.025,0.025,0.025
Cuddledown,0.025,0.025,0.025
Cudoo,0.1,0.1,0.1
