,Date,Source,Merchant,Site,Discount
229,2021-09-24,Rakuten,Baseball Savings,baseballsavings.com,0.015
230,2021-09-24,Rakuten,BaseballMonkey.com,baseballmonkey.com,0.01
231,2021-09-24,Rakuten,Basepaws,basepaws.com,0.05
232,2021-09-24,Rakuten,Bass Pro Shops,bassproshops.com,0.035
233,2021-09-24,Rakuten,BatBnB,batbnb.com,0.025
234,2021-09-24,Rakuten,Bates Footwear,batesfootwear.com,0.035
235,2021-09-24,Rakuten,Bath and Body Works,bathandbodyworks.com,
236,2021-09-24,Rakuten,Batteries Plus,batteriesplus.com,0.03
237,2021-09-24,Rakuten,BauBax,baubax.com,0.05
238,2021-09-24,Rakuten,BaubleBar,baublebar.com,0.025
239,2021-09-24,Rakuten,Baxter Blue,baxterblueglasses.com,6.0
240,2021-09-24,Rakuten,Baymont by Wyndham,baymontinnandsuites.com,
241,2021-09-24,Rakuten,BBQGuys,bbqguys.com,0.03
242,2021-09-24,Rakuten,BCBG,bcbg.com,0.02
243,2021-09-24,Rakuten,Beach Camera,beachcamera.com,0.01
244,2021-09-24,Rakuten,Beachbody,beachbody.com,
245,2021-09-24,Rakuten,Beadaholique,beadaholique.com,0.035
246,2021-09-24,Rakuten,Bealls Florida,beallsflorida.com,0.035
247,2021-09-24,Rakuten,Beam,beamtlc.com,0.05
248,2021-09-24,Rakuten,Bean Box,beanbox.com,0.045
249,2021-09-24,Rakuten,Bear Mattress,bearmattress.com,0.025
250,2021-09-24,Rakuten,Bearaby,bearaby.com,0.045
251,2021-09-24,Rakuten,Beaulieu Vineyards,bvwines.com,0.035
252,2021-09-24,Rakuten,BeautifiedYou.com,beautifiedyou.com,0.05
253,2021-09-24,Rakuten,Beauty Brands,beautybrands.com,0.035
254,2021-09-24,Rakuten,Beauty By Design,beautybydesign.com,
255,2021-09-24,Rakuten,Beauty Care Choices,beautycarechoices.com,0.05
256,2021-09-24,Rakuten,Beauty Expert,beautyexpert.com,0.025
257,2021-09-24,Rakuten,Beauty Pie,beautypie.com,7.5
258,2021-09-24,Rakuten,Beauty Plus Salon,beautyplussalon.com,0.06
259,2021-09-24,Rakuten,BeautyBio,beautybio.com,0.03
260,2021-09-24,Rakuten,Beautyrest,beautyrest.com,0.03
261,2021-09-24,Rakuten,bebe,bebe.com,0.06
262,2021-09-24,Rakuten,Becker Professional Education,becker.com,0.035
263,2021-09-24,Rakuten,Bed Bath and Beyond,bedbathandbeyond.com,0.01
264,2021-09-24,Rakuten,Bed Threads,bedthreads.com,0.025
265,2021-09-24,Rakuten,Beekeeper's Naturals,beekeepersnaturals.com,0.03
266,2021-09-24,Rakuten,Beginning Boutique,beginningboutique.com,0.025
267,2021-09-24,Rakuten,Belk.com,belk.com,0.02
268,2021-09-24,Rakuten,Bella Dahl,belladahl.com,0.04
269,2021-09-24,Rakuten,Bellacor,bellacor.com,0.03
270,2021-09-24,Rakuten,Bellesa Boutique,bboutique.com,0.06
271,2021-09-24,Rakuten,Bellhop,getbellhops.com,0.035
272,2021-09-24,Rakuten,Belly Sleep,bellysleep.com,0.03
