Date,Source,Merchant,Site,Discount
2021-09-12,Rakuten,ATN,atncorp.com,0.025
2021-09-12,Rakuten,Atom Tickets,atomtickets.com,0.02
2021-09-12,Rakuten,ATTITUDE,attitudeliving.com,0.0125
2021-09-12,Rakuten,Auburn University Anders Bookstore,auburn-university-bookstore.com,nan
2021-09-12,Rakuten,Audio Advice,audioadvice.com,0.03
2021-09-12,Rakuten,AuraGlow,auraglow.com,0.04
2021-09-12,Rakuten,AUrate New York,auratenewyork.com,0.035
2021-09-12,Rakuten,Austin Canoe & Kayak,austinkayak.com,nan
2021-09-12,Rakuten,Auto Barn,autobarn.com,0.045
2021-09-12,Rakuten,Auto Europe Car Rentals,autoeurope.com,0.035
2021-09-12,Rakuten,Auto Parts Warehouse,autopartswarehouse.com,nan
2021-09-12,Rakuten,Autodesk,autodesk.com,0.045
2021-09-12,Rakuten,Autonomous,autonomous.ai.com,0.03
2021-09-12,Rakuten,AutoZone,autozone.com,0.01
2021-09-12,Rakuten,Avast,avast.com,0.125
2021-09-12,Rakuten,Aveda,aveda.com,0.03
2021-09-12,Rakuten,Avene,aveneusa.com,0.04
2021-09-12,Rakuten,Avenova,avenova.com,0.03
2021-09-12,Rakuten,avenue,avenue.com,0.025
2021-09-12,Rakuten,Averr Aglow,averraglow.com,0.03
2021-09-12,Rakuten,Avery WePrint,avery.com,0.02
2021-09-12,Rakuten,AVG,avg.com,0.15
2021-09-12,Rakuten,Avid,avid.com,0.075
2021-09-12,Rakuten,Avis,avis.com,0.01
2021-09-12,Rakuten,Avon,avon.com,0.03
2021-09-12,Rakuten,Avoya Travel,avoyatravel.com,0.02
2021-09-12,Rakuten,Awara,awarasleep.com,0.06
2021-09-12,Rakuten,B-Glowing,b-glowing.com,0.02
2021-09-12,Rakuten,b.glen,bglen-us.com,5
2021-09-12,Rakuten,Baabuk,baabuk.com,0.05
2021-09-12,Rakuten,Babbel,babbel.com,0.05
2021-09-12,Rakuten,Babies R Us,babiesrus.com,nan
2021-09-12,Rakuten,Babo Botanicals,babobotanicals.com,0.04
2021-09-12,Rakuten,BABOR,us-babor.com,0.05
2021-09-12,Rakuten,Baby Aspen,babyaspen.com,0.06
2021-09-12,Rakuten,Baby Gap,babygap.com,0.06
2021-09-12,Rakuten,Baby Jogger,babyjogger.com,0.015
2021-09-12,Rakuten,Babybasket.com,babybasket.com,0.06
2021-09-12,Rakuten,Backcountry.com,backcountry.com,0.04
2021-09-12,Rakuten,BAGGU,baggu.com,0.025
2021-09-12,Rakuten,Bags & Bows,bagsandbowsonline.com,0.04
2021-09-12,Rakuten,Bahama Breeze,bahamabreeze.com,0.01
2021-09-12,Rakuten,Bake Me A Wish,bakemeawish.com,0.06
2021-09-12,Rakuten,Baked by Melissa,bakedbymelissa.com,0.03
2021-09-12,Rakuten,Balance by bistroMD,balance-bistromd.com,0.025
2021-09-12,Rakuten,Balfour,balfour.com,0.025
2021-09-12,Rakuten,Bali Bras,balibras.com,0.02
2021-09-12,Rakuten,Ballard Designs,ballarddesigns.com,0.015
2021-09-12,Rakuten,Bally,bally.com,0.02
2021-09-12,Rakuten,Bally's Las Vegas,ballyslasvegas.com,0.025
2021-09-12,Rakuten,Baltini,baltini.com,0.015
2021-09-12,Rakuten,Banana Republic,bananarepublic.com,0.02
2021-09-12,Rakuten,Banana Republic CA,bananarepublicca.com,0.02
2021-09-12,Rakuten,Banana Republic Factory,bananarepublicfactory.com,0.02
2021-09-12,Rakuten,BANDIER,bandier.com,0.03
2021-09-12,Rakuten,Banila Co,banilausa.com,0.075
2021-09-12,Rakuten,BannerBuzz.com,bannerbuzz.com,0.05
2021-09-12,Rakuten,Banter by Piercing Pagoda,banter.com,0.03
2021-09-12,Rakuten,Barbell Apparel,barbellapparel.com,0.035
2021-09-12,Rakuten,Barbeques Galore,bbqgalore.com,0.04
2021-09-12,Rakuten,Barceló Hotels,barcelohotels.com,0.03
2021-09-12,Rakuten,bare + BEAUTY,barebeauty.com,nan
2021-09-12,Rakuten,Bare Necessities,barenecessities.com,0.03
2021-09-12,Rakuten,Barefoot Scientist,barefootscientist.com,0.025
2021-09-12,Rakuten,bareMinerals,bareminerals.com,0.05
